,content,label
0,"['like', 'dog']",Negative
1,"['thaaanks', 'december', 'puhon']",Positive
2,"['happy', 'birthday', 'we', 're', 'positive', 'full', 'cake']",Positive
3,"['miss', 'infinite']",Negative
4,"['followed', 'thanks', 'please', 'followed']",Negative
5,"['can', 't', 'post', 'message']",Negative
6,"['bring', 'boatbound', 'brings', 'luxury', 'yachting', 'masses', 'tech', 'via']",Positive
7,"['listen', 'live']",Positive
8,"['wish', 'could', 'dm', 'cute', 'thing', 'preferably', 'cute', 'kitten', 'puppy']",Negative
9,['kill'],Positive
10,"['talk', 'month']",Positive
11,"['looking', 'fun', 'kik', 'slacke', 'kik', 'kikmeguys', 'blonde', 'kikchat', 'sexy', 'mpoints', 'kiksexting']",Negative
12,"['hope', 'thanks', 'mfundo']",Positive
13,"['looks', 'good', 'pal', 'glad', 'pay', 'jersey', 'gilet']",Negative
14,"['hii', 'follow', 'please', 'i', 'd', 'like', 'ask', 'one', 'thing', 'dm']",Positive
15,"['love', 'sad', 'front']",Negative
16,"['bro', 'u', 'wan', 'cut', 'hair', 'anot', 'ur', 'hair', 'long', 'liao', 'bo', 'since', 'ord', 'liao', 'take', 'easy', 'lor', 'treat', 'save', 'leave', 'long', 'bro', 'lol', 'sibei', 'xialan']",Positive
17,['morning'],Positive
18,"['miss', 'circuit', 'training', 'secondary', 'school', 'day']",Negative
19,"['mean', 'way', 'rd', 'load', 'hang']",Negative
20,"['cakehamper', 'basket', 'arrive', 'best', 'gonna', 'busy', 'get', 'finish', 'product', 'ready', 'see', 'excited']",Positive
21,"['say', 'hello', 'overgeneralization']",Positive
22,"['imagine', 'would', 'shatter', 'dream', 'we', 'll', 'let', 'colleague', 'know', 'sb']",Negative
23,"['tgif', 'weekend', 'enjoy']",Positive
24,"['car', 'suspemsion', 'cant', 'cope', 'offroading', 'adventure', 'theres', 'harvest', 'machinery', 'leave', 'inapropriate', 'place', 'weave', 'around']",Negative
25,"['even', 'though', 'see', 'whole', 'peep', 'show', 'multiple', 'time', 'nothing', 'could', 'prepare', 'netflix', 'remove', 'series']",Negative
26,"['person', 'small', 'thing', 'u', 'expect', 'person', 'u', 'love']",Positive
27,['glad'],Positive
28,"['good', 'morning', 'd', 'lol', 'really', 'fuckin', 'dark', 'gonna', 'rain', 'hard', 'couple', 'minute']",Positive
29,"['u', 'sound', 'upset']",Negative
30,"['someone', 'talk']",Positive
31,"['that', 's', 'true', 'indeed', 'curvy', 'route']",Positive
32,"['around', 'tom']",Negative
33,"['tbh', 'forget', 'donation', 'manager', 'sin', 'due', 'hp', 'corrupt', 'restore', 'data', 'lose', 'lor']",Negative
34,"['yay', 'he', 's', 'alreaddyyy']",Negative
35,"['feel', 'like', 'i', 'm', 'weird', 'person', 'ship', 'bellamy', 'raven', 'everyone', 'ship', 'clarke', 'heart', 'want', 'want']",Negative
36,['think'],Negative
37,"['tony', 'stark', 'incredible', 'tony', 'pictures']",Positive
38,"['stats', 'week', 'arrive', 'new', 'follower', 'unfollowers', 'via']",Positive
39,"['lovely', 'day', 'yes', 'stay', 'happy']",Positive
40,"['cont', 'line', 'l', 'online', 'reply', 'mention', 'watch', 'tl', 'x', 'sorry', 'late', 'reply']",Negative
41,"['like', 'style', 'sumedh']",Positive
42,"['u', 'guy', 'together']",Negative
43,"['ryan', 'go', 'em', 'con', 'swear', 'saw', 'something', 'say', 'next', 'year', 'sorry', 'im', 'wrong', 'd']",Positive
44,"['sowwy', 'word', 'limit', 'really', 'grind', 'gear', 'chance', 'win', 'make']",Negative
45,"['lukkkee', 'birthday', 'day', 'would', 'awesome', 'birthday', 'present', 'get', 'follow']",Positive
46,"['sunrise', 'pretty', 'get', 'good', 'picture']",Negative
